RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           49     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.033D+05  7.841D+04
    1    3     1     0  ---    1  2.1D-06  3.5D-01  2.638D+04  4.910D+04
    2    4     0     0  con    0  1.0D+00  1.2D-01  1.957D+04  4.365D+04
    3    5     0     0  con    0  1.0D+00  2.2D-01  1.074D+04  3.856D+04
    4    6     0     0  con    0  1.0D+00  2.3D-01  1.195D+04  3.521D+04
    5    7     0     0  con    0  1.0D+00  4.0D-01  1.161D+04  3.141D+04
    6    8     0     0  con    0  1.0D+00  3.0D-01  9.151D+03  2.796D+04
    7    9     0     0  con    0  1.0D+00  4.9D-01  1.143D+04  2.366D+04
    8   10     0     0  con    0  1.0D+00  6.6D-01  1.060D+04  1.942D+04
    9   11     0     0  con    0  1.0D+00  6.3D-01  9.906D+03  1.495D+04
   10   12     0     0  con    0  1.0D+00  5.2D-01  8.564D+03  1.186D+04
   11   13     0     0  con    0  1.0D+00  4.2D-01  1.088D+04  9.760D+03
   12   14     0     0  con    0  1.0D+00  1.4D-01  8.400D+03  8.173D+03
   13   15     0     0  con    0  1.0D+00  3.8D-01  6.083D+03  5.965D+03
   14   16     0     0  con    0  1.0D+00  3.3D-01  9.422D+03  4.990D+03
   15   17     0     0  con    0  1.0D+00  2.4D-01  5.394D+03  3.942D+03
   16   18     0     0  con    0  1.0D+00  2.4D-01  3.351D+03  3.064D+03
   17   19     0     0  con    0  1.0D+00  1.7D-01  3.725D+03  2.539D+03
   18   20     0     0  con    0  1.0D+00  2.5D-01  4.897D+03  2.071D+03
   19   21     0     0  con    0  1.0D+00  7.6D-02  3.180D+03  1.673D+03
   20   22     0     0  con    0  1.0D+00  7.0D-02  2.063D+03  1.432D+03
   21   23     0     0  con    0  1.0D+00  1.0D-01  2.806D+03  1.181D+03
   22   24     0     0  con    0  1.0D+00  2.0D-01  4.490D+03  9.939D+02
   23   25     0     0  con    0  1.0D+00  4.5D-02  1.795D+03  7.917D+02
   24   26     0     0  con    0  1.0D+00  5.1D-02  1.556D+03  6.941D+02
   25   27     0     0  con    0  1.0D+00  8.0D-02  1.834D+03  5.732D+02
   26   28     0     0  con    0  1.0D+00  1.5D-01  3.769D+03  5.040D+02
   27   29     0     0  con    0  1.0D+00  2.6D-02  1.493D+03  3.902D+02
   28   30     0     0  con    0  1.0D+00  2.3D-02  9.575D+02  3.492D+02
   29   31     0     0  con    0  1.0D+00  4.7D-02  1.095D+03  2.955D+02
   30   32     0     0  con    0  1.0D+00  8.1D-02  1.018D+03  2.261D+02
   31   34     0     0  con    1  2.6D-01  3.5D-02  1.125D+03  2.064D+02
   32   35     0     0  con    0  1.0D+00  4.9D-02  6.724D+02  1.761D+02
   33   36     0     0  con    0  1.0D+00  2.8D-02  6.501D+02  1.572D+02
   34   37     0     0  con    0  1.0D+00  3.7D-02  6.470D+02  1.377D+02
   35   38     0     0  con    0  1.0D+00  3.9D-02  1.321D+03  1.303D+02
   36   39     0     0  con    0  1.0D+00  8.3D-03  5.889D+02  1.184D+02
   37   40     0     0  con    0  1.0D+00  1.5D-02  4.671D+02  1.080D+02
   38   41     0     0  con    0  1.0D+00  2.8D-02  5.751D+02  9.812D+01
   39   43     0     0  con    1  3.7D-01  1.7D-02  5.879D+02  9.480D+01
   40   44     0     0  con    0  1.0D+00  2.3D-02  2.917D+02  8.980D+01
   41   45     0     0  con    0  1.0D+00  1.4D-02  3.303D+02  8.654D+01
   42   46     0     0  con    0  1.0D+00  2.8D-02  3.759D+02  8.015D+01
   43   47     0     0  con    0  1.0D+00  3.6D-02  5.131D+02  7.322D+01
   44   49     0     0  con    1  5.0D-01  2.8D-02  5.358D+02  6.883D+01
   45   50     0     0  con    0  1.0D+00  1.4D-02  2.469D+02  6.447D+01
   46   51     0     0  con    0  1.0D+00  8.1D-03  2.329D+02  6.228D+01
   47   52     0     0  con    0  1.0D+00  6.3D-03  2.376D+02  6.083D+01
   48   53     0     0  con    0  1.0D+00  1.7D-02  3.535D+02  5.771D+01
   49   54     0     0  con    0  1.0D+00  3.0D-02  4.212D+02  5.309D+01
   50   55     0     0  con    0  1.0D+00  4.1D-02  3.420D+02  4.666D+01
   51   56     0     0  con    0  1.0D+00  6.2D-02  3.886D+02  3.843D+01
   52   57     0     0  con    0  1.0D+00  4.8D-02  5.158D+02  3.099D+01
   53   58     0     0  con    0  1.0D+00  5.6D-02  4.649D+02  2.543D+01
   54   59     0     0  con    0  1.0D+00  1.1D-02  1.676D+02  2.128D+01
   55   60     0     0  con    0  1.0D+00  4.1D-03  1.290D+02  2.039D+01
   56   61     0     0  con    0  1.0D+00  5.6D-03  8.142D+01  1.986D+01
   57   62     0     0  con    0  1.0D+00  7.0D-03  1.584D+02  1.976D+01
   58   63     0     0  con    0  1.0D+00  1.0D-03  8.343D+01  1.947D+01
   59   64     0     0  con    0  1.0D+00  1.3D-03  5.913D+01  1.932D+01
   60   65     0     0  con    0  1.0D+00  3.2D-03  7.650D+01  1.906D+01
   61   66     0     0  con    0  1.0D+00  5.2D-03  9.684D+01  1.869D+01
   62   68     0     0  con    1  4.7D-01  6.3D-03  1.391D+02  1.844D+01
   63   69     0     0  con    0  1.0D+00  6.2D-03  8.667D+01  1.801D+01
   64   70     0     0  con    0  1.0D+00  9.9D-03  1.045D+02  1.737D+01
   65   71     0     0  con    0  1.0D+00  1.9D-02  1.980D+02  1.633D+01
   66   72     0     0  con    0  1.0D+00  2.9D-02  2.155D+02  1.502D+01
   67   73     0     0  con    0  1.0D+00  3.8D-02  3.104D+02  1.401D+01
   68   74     0     0  con    0  1.0D+00  2.7D-03  1.721D+02  1.293D+01
   69   75     0     0  con    0  1.0D+00  4.0D-03  1.674D+02  1.212D+01
   70   76     0     0  con    0  1.0D+00  9.5D-03  1.750D+02  1.131D+01
   71   77     0     0  con    0  1.0D+00  3.4D-02  2.477D+02  9.586D+00
   72   79     0     0  con    1  4.1D-01  2.1D-02  2.195D+02  8.805D+00
   73   80     0     0  con    0  1.0D+00  2.1D-02  1.053D+02  7.973D+00
   74   81     0     0  con    0  1.0D+00  1.4D-02  9.841D+01  7.510D+00
   75   82     0     0  con    0  1.0D+00  8.8D-03  1.151D+02  7.133D+00
   76   83     0     0  con    0  1.0D+00  1.0D-02  7.966D+01  6.808D+00
   77   84     0     0  con    0  1.0D+00  2.7D-03  5.339D+01  6.672D+00
   78   85     0     0  con    0  1.0D+00  2.4D-03  2.871D+01  6.624D+00
   79   86     0     0  con    0  1.0D+00  1.2D-03  2.751D+01  6.599D+00
   80   87     0     0  con    0  1.0D+00  1.3D-03  2.499D+01  6.558D+00
   81   88     0     0  con    0  1.0D+00  2.3D-03  3.373D+01  6.500D+00
   82   89     0     0  con    0  1.0D+00  4.7D-03  6.177D+01  6.423D+00
   83   90     0     0  con    0  1.0D+00  4.2D-03  6.556D+01  6.311D+00
   84   91     0     0  con    0  1.0D+00  7.7D-03  8.376D+01  6.117D+00
   85   92     0     0  con    0  1.0D+00  1.4D-02  9.039D+01  5.823D+00
   86   94     0     0  con    1  4.2D-01  8.0D-03  6.748D+01  5.702D+00
   87   95     0     0  con    0  1.0D+00  3.6D-03  3.907D+01  5.586D+00
   88   96     0     0  con    0  1.0D+00  4.6D-03  5.409D+01  5.451D+00
   89   97     0     0  con    0  1.0D+00  6.6D-03  6.376D+01  5.310D+00
   90   98     0     0  con    0  1.0D+00  1.5D-02  1.255D+02  5.156D+00
   91   99     0     0  con    0  1.0D+00  9.8D-03  4.605D+01  4.964D+00
   92  100     0     0  con    0  1.0D+00  3.5D-03  5.444D+01  4.861D+00
   93  101     0     0  con    0  1.0D+00  8.4D-03  7.071D+01  4.704D+00
   94  102     0     0  con    0  1.0D+00  1.3D-02  1.053D+02  4.537D+00
   95  103     0     0  con    0  1.0D+00  1.3D-02  7.207D+01  4.326D+00
   96  104     0     0  con    0  1.0D+00  1.5D-02  4.967D+01  4.158D+00
   97  105     0     0  con    0  1.0D+00  3.5D-03  4.743D+01  4.118D+00
   98  106     0     0  con    0  1.0D+00  1.5D-03  2.624D+01  4.094D+00
   99  107     0     0  con    0  1.0D+00  1.3D-03  2.469D+01  4.057D+00
  100  108     0     0  con    0  1.0D+00  1.8D-03  3.411D+01  4.017D+00
  101  109     0     0  con    0  1.0D+00  4.0D-03  5.786D+01  3.946D+00
  102  110     0     0  con    0  1.0D+00  1.0D-02  8.788D+01  3.908D+00
  103  111     0     0  con    0  1.0D+00  7.9D-04  3.781D+01  3.810D+00
  104  112     0     0  con    0  1.0D+00  2.1D-03  4.866D+01  3.743D+00
  105  113     0     0  con    0  1.0D+00  4.1D-03  6.494D+01  3.653D+00
  106  114     0     0  con    0  1.0D+00  9.2D-03  7.443D+01  3.484D+00
  107  115     0     0  con    0  1.0D+00  1.9D-02  2.120D+02  3.441D+00
  108  116     0     0  con    0  1.0D+00  5.3D-03  7.276D+01  3.116D+00
  109  117     0     0  con    0  1.0D+00  2.2D-03  3.387D+01  3.018D+00
  110  118     0     0  con    0  1.0D+00  4.3D-03  4.490D+01  2.943D+00
  111  119     0     0  con    0  1.0D+00  4.3D-03  3.953D+01  2.874D+00
  112  121     0     0  con    1  4.2D-01  5.2D-03  5.854D+01  2.820D+00
  113  122     0     0  con    0  1.0D+00  4.9D-03  2.771D+01  2.741D+00
  114  123     0     0  con    0  1.0D+00  1.7D-03  2.521D+01  2.703D+00
  115  124     0     0  con    0  1.0D+00  2.6D-03  3.363D+01  2.655D+00
  116  125     0     0  con    0  1.0D+00  3.2D-03  5.893D+01  2.622D+00
  117  126     0     0  con    0  1.0D+00  1.1D-03  4.052D+01  2.577D+00
  118  127     0     0  con    0  1.0D+00  3.0D-03  3.877D+01  2.512D+00
  119  128     0     0  con    0  1.0D+00  3.3D-03  4.979D+01  2.458D+00
  120  129     0     0  con    0  1.0D+00  9.0D-03  8.567D+01  2.334D+00
  121  130     0     0  con    0  1.0D+00  1.1D-02  7.611D+01  2.234D+00
  122  131     0     0  con    0  1.0D+00  1.1D-03  3.668D+01  2.150D+00
  123  132     0     0  con    0  1.0D+00  2.8D-03  4.491D+01  2.059D+00
  124  133     0     0  con    0  1.0D+00  4.3D-03  5.228D+01  1.987D+00
  125  134     0     0  con    0  1.0D+00  1.2D-02  7.284D+01  1.908D+00
  126  135     0     0  con    0  1.0D+00  1.1D-03  2.410D+01  1.850D+00
  127  136     0     0  con    0  1.0D+00  4.4D-04  1.812D+01  1.839D+00
  128  137     0     0  con    0  1.0D+00  6.5D-04  2.350D+01  1.825D+00
  129  138     0     0  con    0  1.0D+00  2.7D-03  3.012D+01  1.795D+00
  130  139     0     0  con    0  1.0D+00  3.8D-03  3.183D+01  1.759D+00
  131  140     0     0  con    0  1.0D+00  4.8D-03  3.101D+01  1.727D+00
  132  141     0     0  con    0  1.0D+00  3.3D-03  2.184D+01  1.707D+00
  133  142     0     0  con    0  1.0D+00  3.7D-04  1.123D+01  1.696D+00
  134  143     0     0  con    0  1.0D+00  4.4D-04  1.054D+01  1.688D+00
  135  144     0     0  con    0  1.0D+00  9.1D-04  1.819D+01  1.683D+00
  136  145     0     0  con    0  1.0D+00  6.6D-04  9.472D+00  1.679D+00
  137  146     0     0  con    0  1.0D+00  5.7D-04  8.755D+00  1.676D+00
  138  147     0     0  con    0  1.0D+00  1.0D-03  1.283D+01  1.671D+00
  139  148     0     0  con    0  1.0D+00  2.1D-03  1.918D+01  1.659D+00
  140  149     0     0  con    0  1.0D+00  3.2D-03  3.476D+01  1.644D+00
  141  150     0     0  con    0  1.0D+00  4.1D-03  2.118D+01  1.631D+00
  142  151     0     0  con    0  1.0D+00  4.9D-04  8.538D+00  1.623D+00
  143  152     0     0  con    0  1.0D+00  4.7D-04  1.283D+01  1.617D+00
  144  153     0     0  con    0  1.0D+00  6.9D-04  1.800D+01  1.612D+00
  145  154     0     0  con    0  1.0D+00  2.5D-03  2.188D+01  1.597D+00
  146  155     0     0  con    0  1.0D+00  7.0D-03  5.775D+01  1.594D+00
  147  156     0     0  con    0  1.0D+00  1.5D-03  2.362D+01  1.565D+00
  148  157     0     0  con    0  1.0D+00  1.7D-03  8.294D+00  1.556D+00
  149  158     0     0  con    0  1.0D+00  2.4D-03  1.195D+01  1.550D+00
  150  159     0     0  con    0  1.0D+00  2.6D-03  1.804D+01  1.544D+00
  151  160     0     0  con    0  1.0D+00  7.1D-03  3.114D+01  1.537D+00
  152  161     0     0  con    0  1.0D+00  6.5D-04  1.276D+01  1.525D+00
  153  162     0     0  con    0  1.0D+00  3.4D-04  9.715D+00  1.520D+00
  154  163     0     0  con    0  1.0D+00  7.5D-04  1.172D+01  1.515D+00
  155  164     0     0  con    0  1.0D+00  2.2D-03  2.160D+01  1.508D+00
  156  165     0     0  con    0  1.0D+00  2.7D-03  1.543D+01  1.499D+00
  157  166     0     0  con    0  1.0D+00  1.5D-03  1.123D+01  1.493D+00
  158  167     0     0  con    0  1.0D+00  2.8D-03  1.608D+01  1.483D+00
  159  168     0     0  con    0  1.0D+00  3.3D-03  2.820D+01  1.472D+00
  160  169     0     0  con    0  1.0D+00  4.3D-03  2.863D+01  1.454D+00
  161  170     0     0  con    0  1.0D+00  1.0D-02  4.278D+01  1.437D+00
  162  171     0     0  con    0  1.0D+00  2.5D-03  1.213D+01  1.413D+00
  163  172     0     0  con    0  1.0D+00  5.0D-04  1.081D+01  1.405D+00
  164  173     0     0  con    0  1.0D+00  3.0D-03  2.687D+01  1.393D+00
  165  174     0     0  con    0  1.0D+00  4.2D-03  1.831D+01  1.385D+00
  166  175     0     0  con    0  1.0D+00  1.2D-03  9.803D+00  1.379D+00
  167  176     0     0  con    0  1.0D+00  2.7D-03  8.980D+00  1.373D+00
  168  177     0     0  con    0  1.0D+00  3.3D-03  1.859D+01  1.364D+00
  169  178     0     0  con    0  1.0D+00  7.3D-03  2.242D+01  1.344D+00
  170  179     0     0  con    0  1.0D+00  9.6D-03  5.700D+01  1.339D+00
  171  180     0     0  con    0  1.0D+00  8.4D-04  2.639D+01  1.312D+00
  172  181     0     0  con    0  1.0D+00  9.2D-04  1.373D+01  1.299D+00
  173  182     0     0  con    0  1.0D+00  3.2D-03  1.729D+01  1.284D+00
  174  183     0     0  con    0  1.0D+00  6.3D-03  2.077D+01  1.267D+00
  175  185     0     0  con    1  4.0D-01  5.0D-03  2.465D+01  1.256D+00
  176  186     0     0  con    0  1.0D+00  4.8D-03  1.959D+01  1.242D+00
  177  187     0     0  con    0  1.0D+00  5.7D-03  1.903D+01  1.224D+00
  178  188     0     0  con    0  1.0D+00  7.8D-03  3.022D+01  1.204D+00
  179  189     0     0  con    0  1.0D+00  5.2D-03  1.969D+01  1.185D+00
  180  190     0     0  con    0  1.0D+00  2.3D-03  1.613D+01  1.172D+00
  181  191     0     0  con    0  1.0D+00  3.5D-03  2.674D+01  1.159D+00
  182  192     0     0  con    0  1.0D+00  3.9D-03  2.188D+01  1.143D+00
  183  193     0     0  con    0  1.0D+00  9.4D-03  2.815D+01  1.112D+00
  184  195     0     0  con    1  2.9D-01  6.2D-03  3.455D+01  1.097D+00
  185  196     0     0  con    0  1.0D+00  1.1D-02  2.145D+01  1.066D+00
  186  197     0     0  con    0  1.0D+00  4.6D-03  1.451D+01  1.049D+00
  187  198     0     0  con    0  1.0D+00  5.3D-03  2.234D+01  1.027D+00
  188  199     0     0  con    0  1.0D+00  6.4D-03  2.839D+01  1.003D+00
  189  200     0     0  con    0  1.0D+00  4.8D-03  2.370D+01  9.721D-01
  190  201     0     0  con    0  1.0D+00  1.4D-02  4.022D+01  9.365D-01
  191  202     0     0  con    0  1.0D+00  4.9D-03  3.582D+01  9.053D-01
  192  203     0     0  con    0  1.0D+00  1.5D-03  2.235D+01  8.936D-01
  193  204     0     0  con    0  1.0D+00  2.0D-03  1.250D+01  8.789D-01
  194  205     0     0  con    0  1.0D+00  5.8D-03  1.738D+01  8.623D-01
  195  207     0     0  con    1  4.6D-01  3.0D-03  2.184D+01  8.553D-01
  196  208     0     0  con    0  1.0D+00  4.8D-03  1.486D+01  8.460D-01
  197  209     0     0  con    0  1.0D+00  1.8D-03  8.078D+00  8.407D-01
  198  210     0     0  con    0  1.0D+00  1.1D-03  1.360D+01  8.357D-01
  199  211     0     0  con    0  1.0D+00  5.0D-04  9.746D+00  8.308D-01
  200  212     0     0  con    0  1.0D+00  7.5D-04  1.151D+01  8.244D-01
